run,cond,seed,t_fit,t_gen,delay,censored,t10,t50,final_test_acc,epochs_ran
baseline_s0,baseline,0,200,19900,19700,False,9300.0,18550.0,1.0,24201
baseline_s1,baseline,1,200,29400,29200,False,23950.0,28400.0,0.9997,33701
baseline_s2,baseline,2,200,23700,23500,False,19900.0,22000.0,0.99879,28101
baseline_s3,baseline,3,200,20000,19800,False,3900.0,18500.0,1.0,24351
baseline_s4,baseline,4,200,19050,18850,False,16300.0,18500.0,1.0,22901
baseline_s5,baseline,5,250,37550,37300,False,30400.0,36500.0,0.99833,41951
baseline_s6,baseline,6,200,5500,5300,False,3950.0,5100.0,1.0,9201
baseline_s7,baseline,7,200,24650,24450,False,18350.0,22300.0,1.0,29101
baseline_s8,baseline,8,200,18500,18300,False,15750.0,17750.0,0.99742,22751
baseline_s9,baseline,9,200,10350,10150,False,6750.0,9450.0,1.0,14451
grokfast_s0,grokfast,0,200,16700,16500,False,11400.0,15450.0,1.0,21251
grokfast_s1,grokfast,1,200,12650,12450,False,8550.0,11550.0,1.0,16501
grokfast_s2,grokfast,2,200,18300,18100,False,13750.0,17850.0,1.0,21951
grokfast_s3,grokfast,3,200,10300,10100,False,5400.0,9300.0,1.0,14451
grokfast_s4,grokfast,4,200,16150,15950,False,13800.0,15400.0,1.0,20101
norm_matched_lam0.1_s0,norm_matched_lam0.1,0,200,50000,49800,True,,,0.0164,50000
norm_matched_lam0.1_s1,norm_matched_lam0.1,1,200,50000,49800,True,,,0.01382,50000
norm_matched_lam0.1_s2,norm_matched_lam0.1,2,200,50000,49800,True,,,0.01184,50000
norm_matched_lam0.1_s3,norm_matched_lam0.1,3,200,50000,49800,True,12800.0,,0.09777,50000
norm_matched_lam0.1_s4,norm_matched_lam0.1,4,200,50000,49800,True,,,0.00395,50000
norm_matched_lam0.3_s0,norm_matched_lam0.3,0,200,50000,49800,True,,,0.02201,50000
norm_matched_lam0.3_s1,norm_matched_lam0.3,1,200,50000,49800,True,,,0.01533,50000
norm_matched_lam0.3_s2,norm_matched_lam0.3,2,200,50000,49800,True,,,0.01002,50000
norm_matched_lam0.3_s3,norm_matched_lam0.3,3,200,50000,49800,True,14700.0,,0.1046,50000
norm_matched_lam0.3_s4,norm_matched_lam0.3,4,200,50000,49800,True,,,0.00501,50000
norm_matched_lam1.0_s0,norm_matched_lam1.0,0,250,50000,49750,True,,,0.04919,50000
norm_matched_lam1.0_s1,norm_matched_lam1.0,1,250,50000,49750,True,,,0.02399,50000
norm_matched_lam1.0_s2,norm_matched_lam1.0,2,250,50000,49750,True,,,0.01442,50000
norm_matched_lam1.0_s3,norm_matched_lam1.0,3,250,50000,49750,True,4100.0,,0.11204,50000
norm_matched_lam1.0_s4,norm_matched_lam1.0,4,200,50000,49800,True,,,0.00577,50000
supcon_shuffled_lam0.1_s0,supcon_shuffled_lam0.1,0,200,50000,49800,True,,,0.03568,50000
supcon_shuffled_lam0.1_s1,supcon_shuffled_lam0.1,1,200,50000,49800,True,,,0.01867,50000
supcon_shuffled_lam0.1_s2,supcon_shuffled_lam0.1,2,200,50000,49800,True,25350.0,,0.43343,50000
supcon_shuffled_lam0.1_s3,supcon_shuffled_lam0.1,3,200,50000,49800,True,24000.0,,0.33612,50000
supcon_shuffled_lam0.1_s4,supcon_shuffled_lam0.1,4,200,50000,49800,True,,,0.01898,50000
supcon_shuffled_lam0.1_s5,supcon_shuffled_lam0.1,5,250,50000,49750,True,21900.0,,0.28025,50000
supcon_shuffled_lam0.1_s6,supcon_shuffled_lam0.1,6,200,50000,49800,True,8450.0,,0.47472,50000
supcon_shuffled_lam0.1_s7,supcon_shuffled_lam0.1,7,200,50000,49800,True,47350.0,,0.07925,50000
supcon_shuffled_lam0.1_s8,supcon_shuffled_lam0.1,8,200,50000,49800,True,39250.0,,0.29786,50000
supcon_shuffled_lam0.1_s9,supcon_shuffled_lam0.1,9,200,50000,49800,True,41150.0,,0.27691,50000
supcon_shuffled_lam0.3_s0,supcon_shuffled_lam0.3,0,200,50000,49800,True,,,0.02824,50000
supcon_shuffled_lam0.3_s1,supcon_shuffled_lam0.3,1,200,50000,49800,True,,,0.05222,50000
supcon_shuffled_lam0.3_s2,supcon_shuffled_lam0.3,2,200,50000,49800,True,39250.0,,0.1591,50000
supcon_shuffled_lam0.3_s3,supcon_shuffled_lam0.3,3,200,50000,49800,True,23950.0,,0.19417,50000
supcon_shuffled_lam0.3_s4,supcon_shuffled_lam0.3,4,200,50000,49800,True,,,0.07606,50000
supcon_shuffled_lam1.0_s0,supcon_shuffled_lam1.0,0,14200,50000,35800,True,,,0.0082,50000
supcon_shuffled_lam1.0_s1,supcon_shuffled_lam1.0,1,9750,50000,40250,True,,,0.01731,50000
supcon_shuffled_lam1.0_s2,supcon_shuffled_lam1.0,2,10900,50000,39100,True,,,0.00197,50000
supcon_shuffled_lam1.0_s3,supcon_shuffled_lam1.0,3,14850,50000,35150,True,,,0.01716,50000
supcon_shuffled_lam1.0_s4,supcon_shuffled_lam1.0,4,14650,50000,35350,True,,,0.00395,50000
supcon_true_lam0.1_s0,supcon_true_lam0.1,0,200,50000,49800,True,42650.0,,0.28162,50000
supcon_true_lam0.1_s1,supcon_true_lam0.1,1,200,40500,40300,False,32800.0,39950.0,1.0,44251
supcon_true_lam0.1_s2,supcon_true_lam0.1,2,200,23000,22800,False,12250.0,17150.0,1.0,26701
supcon_true_lam0.1_s3,supcon_true_lam0.1,3,200,15450,15250,False,2200.0,14950.0,1.0,19101
supcon_true_lam0.1_s4,supcon_true_lam0.1,4,200,40550,40350,False,24850.0,38350.0,1.0,44401
supcon_true_lam0.1_s5,supcon_true_lam0.1,5,200,34450,34250,False,14000.0,32150.0,1.0,38101
supcon_true_lam0.1_s6,supcon_true_lam0.1,6,200,5100,4900,False,3200.0,4400.0,1.0,8701
supcon_true_lam0.1_s7,supcon_true_lam0.1,7,200,50000,49800,True,24350.0,39650.0,0.63747,50000
supcon_true_lam0.1_s8,supcon_true_lam0.1,8,200,15250,15050,False,11650.0,14800.0,1.0,18851
supcon_true_lam0.1_s9,supcon_true_lam0.1,9,200,17750,17550,False,6950.0,13550.0,1.0,21601
supcon_true_lam0.3_s0,supcon_true_lam0.3,0,200,50000,49800,True,42250.0,,0.26795,50000
supcon_true_lam0.3_s1,supcon_true_lam0.3,1,200,40200,40000,False,35800.0,39450.0,1.0,43801
supcon_true_lam0.3_s2,supcon_true_lam0.3,2,200,26450,26250,False,14950.0,20750.0,1.0,30701
supcon_true_lam0.3_s3,supcon_true_lam0.3,3,200,18500,18300,False,3450.0,18050.0,1.0,22051
supcon_true_lam0.3_s4,supcon_true_lam0.3,4,200,50000,49800,True,31100.0,,0.20677,50000
supcon_true_lam0.3_s5,supcon_true_lam0.3,5,200,50000,49800,True,24750.0,,0.48717,50000
supcon_true_lam0.3_s6,supcon_true_lam0.3,6,200,2850,2650,False,1400.0,2300.0,1.0,6451
supcon_true_lam0.3_s7,supcon_true_lam0.3,7,200,50000,49800,True,,,0.04964,50000
supcon_true_lam0.3_s8,supcon_true_lam0.3,8,200,14750,14550,False,10550.0,13100.0,1.0,18451
supcon_true_lam0.3_s9,supcon_true_lam0.3,9,200,7150,6950,False,4550.0,6750.0,1.0,10801
supcon_true_lam1.0_s0,supcon_true_lam1.0,0,200,50000,49800,True,15150.0,,0.14377,50000
supcon_true_lam1.0_s1,supcon_true_lam1.0,1,250,37650,37400,False,17000.0,35000.0,1.0,41251
supcon_true_lam1.0_s2,supcon_true_lam1.0,2,350,35950,35600,False,12650.0,34000.0,1.0,39701
supcon_true_lam1.0_s3,supcon_true_lam1.0,3,200,9800,9600,False,5900.0,8500.0,1.0,13501
supcon_true_lam1.0_s4,supcon_true_lam1.0,4,250,50000,49750,True,,,0.00987,50000
supcon_true_lam1.0_s5,supcon_true_lam1.0,5,300,26900,26600,False,13500.0,25200.0,1.0,30601
supcon_true_lam1.0_s6,supcon_true_lam1.0,6,200,2000,1800,False,250.0,1800.0,1.0,5601
supcon_true_lam1.0_s7,supcon_true_lam1.0,7,350,21900,21550,False,16050.0,20200.0,1.0,25601
supcon_true_lam1.0_s8,supcon_true_lam1.0,8,250,11550,11300,False,3200.0,8400.0,1.0,15151
supcon_true_lam1.0_s9,supcon_true_lam1.0,9,250,5550,5300,False,1900.0,5200.0,1.0,9201
